date,time,user,text
14.9.2018,13:53,ויני,מאירפלד
14.9.2018,13:53,ויני,שקיבל מגלעד הסה
14.9.2018,13:54,ויני,שקיבל מאירגון הבוגרים
30.11.2018,11:50,אפל,<המדיה לא נכללה>
30.11.2018,11:55,ויני,מה זה הרב קיי? ואני לא מאמין שאתה עוד קורא חדשות דף קשר....
30.11.2018,11:55,אפל,קורא הדור
30.11.2018,12:43,שמוליק,מרשים
30.11.2018,12:44,שמוליק,רק מציין שכל אלו שנשארו בישיבה עד עתה הם חברותות עבר שלי..
30.11.2018,12:44,שמוליק,"דור, רק לשם השוואה, למד עם ויני"
30.11.2018,12:45,ויני,אני חושב שזו מחמאה לשני הכיוונים
30.11.2018,12:46,שמוליק,ניסיון יפה לייצר פה קואליציה לצורך הבדיחה הנוכחית אני אתן לך את זה
30.11.2018,12:49,אפל,"כן, גם אלעזר עכשיו חזר לישיבה."
30.11.2018,12:51,ויני,אלעזר הוא כבר ראשי ישיבת אינטרנט קפה דפנימייה ד'
30.11.2018,13:01,ויני,כשאני חושב על זה ברון את חתכת חברותות כמו חמאה
30.11.2018,13:02,ויני,"היית עם חגי, פופו, הגוי, וואסר אלעזר ועוד איזה חמישה"
30.11.2018,13:03,ויני,חוץ מרומן קצר שהיה לי עם אלכסיי הייתי נאמן לחברותות
30.11.2018,13:07,שמוליק,יואו זה מה שנקרא פייק ניוז
30.11.2018,13:08,שמוליק,חברותות צעירות או בוגרות התחלפו הרבה
30.11.2018,13:08,שמוליק,חברותא מהשיעור - בשיעור א' התחלפו חגי ואהרן
30.11.2018,13:08,שמוליק,ומסוף שיעור א' עד אמצע שיעור ו' עם ברלין
30.11.2018,13:08,שמוליק,יש יותר יציב מזה יא דרעק?
30.11.2018,13:12,ויני,אז אני צודק... אני הייתי נאמן לכל החברתות שלי
30.11.2018,13:14,שמוליק,אתה אדם חסר אופי. היו שמים לידך כרוב בערב היית לומד גם איתו
30.11.2018,13:14,ויני,"למה ככה, זרקתי חברותא אחת, אבל זה כי הוא באמת לא היה משהו... אבל עשיתי את זה יפה, למרות שהוא מה זה נעלב...."
30.11.2018,13:15,ויני,מעניין שדווקא חגי היה ממש מבסוט איתו
30.11.2018,13:19,dorgoldenberg,לא היה למישהו מכם חברותא שאמר שזו זכות ללמוד אתו?
30.11.2018,13:19,dorgoldenberg,וחבל שמי מכם זרק אותו?
30.11.2018,13:20,ויני,אני לא זוכר את זה
30.11.2018,13:21,שמוליק,לי
30.11.2018,13:21,שמוליק,נתנאל ארמן
30.11.2018,13:21,dorgoldenberg,אהה עכשיו אני נזכר
30.11.2018,13:21,dorgoldenberg,הוא הגיע מאפרת או משהו כזה?
30.11.2018,13:21,שמוליק,שאמר לי שחבל לי לזרוק אותו.. כי אני מאוד מבולבל והוא ככ עוזר לי
30.11.2018,13:22,שמוליק,ר' מוישה אמר לי לזרוק אותו אפילו
30.11.2018,13:23,שמוליק,"הוא אמר לי: הרב סולובייצ'יק היה אדם קשה, אבל בשביל ללמוד עם גדול הדור שווה ללמוד עם אדם קשה. הוא הרב סולובייצ'יק?! אז זרוק אותו."
30.11.2018,13:23,שמוליק,וואלה עצה טובה
30.11.2018,13:24,ויני,🤣🤣🤣
30.11.2018,13:24,ויני,זכור לי כדרעק לא קטן
30.11.2018,13:38,אפל,וואו שאפו
30.11.2018,13:57,ויני,טילון מי היה הבוגר שלך בשיעור א? של דור אני זוכר היה סאוטה. שלי היה יום טוב
30.11.2018,13:58,ויני,הוא אומנם היה מחזיר אותי קצר אבל לימד אותי ללמוד
30.11.2018,13:58,שמוליק,שלי התחיל אלעזר
30.11.2018,13:58,ויני,זוכר
30.11.2018,13:58,ויני,טילון זה אפל...
30.11.2018,13:58,שמוליק,אח''כ נועם שליט
30.11.2018,13:58,שמוליק,נתנאל ארמן
30.11.2018,13:59,שמוליק,יהושע מילר
30.11.2018,13:59,שמוליק,וידידיה זקס
30.11.2018,13:59,ויני,זה הבן של הוצאת דביר?
30.11.2018,13:59,שמוליק,כן
30.11.2018,13:59,שמוליק,מגיד אני חושב
30.11.2018,13:59,ויני,הוא התחתן שוב נכון?
30.11.2018,13:59,dorgoldenberg,נכון
30.11.2018,14:00,ויני,ברון מי היו הצעירים שלך?
30.11.2018,14:01,ויני,"דור אני לא זוכר גם מי היו שלך, רק שהיה לך אחד ממש חמוד"
30.11.2018,14:01,dorgoldenberg,"אלעד כהן, יצחק (?) נוחימובסקי ויאיר ויס"
30.11.2018,14:02,ויני,נוחימובסקי היה החמודה?
30.11.2018,14:02,ויני,חמוד
30.11.2018,14:02,שמוליק,"אסף גלזנר, אודי לוינסקי, אוריה וינברג, פופו שפיגלמן"
30.11.2018,14:02,שמוליק,והיו עוד כמה שאני לא זוכר
30.11.2018,14:02,ויני,אההה נכון שכחתי שהרגת חברותא (טו פאר?)
30.11.2018,14:03,שמוליק,תראה אין ספק שהוא למד איתי ושהוא לא שרד.. אין לי מושג לגבי הסיבתיות
30.11.2018,14:04,dorgoldenberg,בדרכו
30.11.2018,14:05,אפל,בוגרים שלי:
30.11.2018,14:05,dorgoldenberg,"תקשיבו, איזה שמות נשכחים אתם מעלים פה"
30.11.2018,14:05,dorgoldenberg,נפתלי שטוך
30.11.2018,14:05,אפל,"זה נראה לי מה שהיה, יכול להיות שהיה עוד - לא זוכר"
30.11.2018,14:05,dorgoldenberg,"הוא היה גדול ואדום כזה, לא?"
30.11.2018,14:06,אפל,בן דוד של ויני כל הזמן מגיב לו בפייסבוק
30.11.2018,14:06,אפל,חרבש כמובן
30.11.2018,14:06,אפל,בדיוק
30.11.2018,14:13,שמוליק,עם טבע כזה.. כמו ויני רק נמוך
30.11.2018,14:14,ויני,טבע?
30.11.2018,14:15,ויני,גרשון נהייה מקפץ סוג א'
30.11.2018,14:25,אפל,‏הודעה זו נמחקה
1.12.2018,20:40,אפל,"יש לי משחק כזה שאני משחק עם עצמי, לקרוא את השות סמס של עולם קטן ולהמר על איזו שאלה הרב בזק יכתוב פוסט בפייסבוק במוצש."
1.12.2018,21:28,שמוליק,חחחח
1.12.2018,21:29,dorgoldenberg,תעדכנו את מי שלא עוקב אחרי הרב בזק
1.12.2018,21:33,אפל,<המדיה לא נכללה>
1.12.2018,21:33,אפל,<המדיה לא נכללה>
1.12.2018,21:42,ויני,צ'מע הרב בזק הוא לא גדול הדור באמונה
5.12.2018,22:11,אפל,<המדיה לא נכללה>
5.12.2018,22:11,אפל,<המדיה לא נכללה>
5.12.2018,22:12,אפל,"מעניין שציוץ פרטי של אוריך הופך להיות עמדת ""הליכוד"""
6.12.2018,0:16,dorgoldenberg,נראה לי שאתה הופך את הכיוון
24.12.2018,20:28,ויני,"בחתונתו של ר' אהרן ליכטנשטיין, לימים ראש ישיבת הר עציון, ובתו של הגרי""ד סולוביצ'יק, כשנכנסו לחדר יחוד נשבר המנעול ולא יכלו לצאת. הגרי""ד סולוביצ'יק סיפר לעדי יחוד שאחרי שמונה דקות אפשר כבר ללכת.  דפקו בדלת והלכו. גם הצלם דפק בדלת ולא יצאו.  הם צעקו שהם לא יכולים לצאת אבל לא שמעו.  בסוף הגרי""ד הגיע להגיד להם לצאת, ואז שמעו את הצעקות שלא יכלו לצאת... שלחו למישהו מהמלון לפתוח את הדלת)."
24.12.2018,20:28,ויני,הכרתם את הסיפור הזה????
24.12.2018,20:28,ויני,זה ענק!!
24.12.2018,20:34,אפל,מאיפה זה??
24.12.2018,20:34,ויני,חחחח מהלינק שאתה שלחת טילון
24.12.2018,20:35,אפל,וואלה..
24.12.2018,20:36,אפל,#דבריםשאיאפשרלכתובבעמיחי
24.12.2018,20:37,ויני,"למה להקיא? זה משעשע ביותר! משפטים ""כמו אנא מכל הבנות, אם הן רוצות לשיר, שיסתגרו בחד"" או (לגביי חתן וכלה מחזיקים ידיים) ""האמת היא שזה מיותר"" עושים לי את היום"
24.12.2018,20:37,ויני,חדר*
24.12.2018,20:38,ויני,"או ""פיוטים כמנהג הספרדים המשרים אווירת השתוללות"", ספרדים = הוללות זו משוואה ידועה"
24.12.2018,20:41,אפל,מה שעצוב זה שיש עוד כאלה שלוקחים אותו ברצינות
24.12.2018,20:41,אפל,כמו אתר כיפה שמעז לפרסם את בלבולי הביצים האלה
24.12.2018,20:42,ויני,"נאמר זאת כך, הרב אבינר עונה על שאלות, כלומר השואל חשב שיש בעיה מלכתחילה ולכן הוא ראוי לתשובה שקיבל"
24.12.2018,20:42,אפל,טעות בידיך. הרב אבינר כותב גם את השאלות וגם את התשובות
24.12.2018,20:43,אפל,הוא ממציא בעיות בעצמו
24.12.2018,20:45,ויני,"וואלה... בכמ הטענה בעינה עומדת, מי שרוצה לקחת ברצינות שיבושם לו..."
27.12.2018,16:03,אפל,יש ליד העבודה שלי מכללה חרדית (שלוחה של אונו) שבה אנחנו מתפללים מנחה וערבית.
27.12.2018,17:09,שמוליק,מצווה מדאורייתא זה הזוי????
27.12.2018,17:23,אפל,"תגיד, הקב""ה היה רוצה שתהיה מחיצה או שלא תהיה מחיצה??"
27.12.2018,17:24,אפל,(true story - נאמר בידי אחד מחברנו)
27.12.2018,17:44,ויני,יש שם ימים נפרדים לנשים וגברין
27.12.2018,17:44,ויני,גברים
7.1.2019,20:01,אפל,<המדיה לא נכללה>
7.1.2019,20:31,dorgoldenberg,נייס
9.1.2019,11:55,אפל,https://youtu.be/qt9FIEAMp1Y
9.1.2019,11:55,אפל,"הרב בזק שלח לי - אלנתן, הבן שלו, שיחק אתמול"
9.1.2019,11:56,אפל,*שודר אתמול
9.1.2019,12:08,שמוליק,תותח!
9.1.2019,12:15,שמוליק,והרוויח יפה
18.1.2019,9:41,אפל,<המדיה לא נכללה>
18.1.2019,10:30,ויני,של אהוד....
22.1.2019,11:58,אפל,מי פה מתכוון להגיע לשבת שיעור?
22.1.2019,11:59,dorgoldenberg,"אני ככה""נ"
22.1.2019,12:18,אפל,עכשיו אני רואה שלויאן התארס. מגניב!
22.1.2019,12:18,ויני,וואלה
22.1.2019,12:18,ויני,מזל טוב
22.1.2019,12:18,אפל,"אהול אמר לי שויני, טורפז ומאירפלד גם מגיעים לשבת"
22.1.2019,12:20,ויני,יש פה כמה קבוצות שמתנהלות במקביל...
22.1.2019,12:32,שמוליק,גם אני מתכוון לבוא
22.1.2019,12:32,שמוליק,יש א' משני
22.1.2019,12:32,ויני,על טפיך ונשיך?
22.1.2019,12:32,שמוליק,יאפ
3.2.2019,11:28,שמוליק,<המדיה לא נכללה>
3.2.2019,11:29,שמוליק,הבורגנווווווווות
3.2.2019,11:29,ויני,ומה אם יש לי בן זוג? אני לא מוזמן??
3.2.2019,11:33,שמוליק,פחות
3.2.2019,11:33,אפל,נראה מגניב! רעיונות מקוריים יש להם
3.2.2019,11:37,אפל,מי זה המייקל pretty face אייזנברג הזה?
3.2.2019,11:37,dorgoldenberg,אחד המשקיעים הגדולים בישראל
3.2.2019,11:37,dorgoldenberg,מתפלל אתי בשטיבלך בקטמון
3.2.2019,11:38,ויני,אולי שישקיע גם בנו
3.2.2019,11:39,dorgoldenberg,אדבר אתו. כמה אתה רוצה?
3.2.2019,11:39,ויני,נראלי ש10 מיל יסדר אותי
3.2.2019,11:39,dorgoldenberg,"זו השקעה מאוד כבדה בסיד, מה שאומר הרבה אחוזים מהחברה שלך"
3.2.2019,11:40,ויני,"איזה חברה, אני הולך לבזבז את הכסף ולברוח"
3.2.2019,12:12,שמוליק,<המדיה לא נכללה>
3.2.2019,12:12,שמוליק,אני מאוד פורה היום
3.2.2019,12:12,שמוליק,"כלומר, הישיבה"
3.2.2019,12:14,ויני,צודק במיוחד
3.2.2019,12:15,אפל,שלא יתעסק עם מאפיית ליכטנשטיין..
3.2.2019,12:15,ויני,ר' מוישה החליף את הרוב בפורום תקנה?
3.2.2019,12:41,שמוליק,בכל הכבוד לר' מוישה
3.2.2019,12:41,שמוליק,הוא לא החליף את הרב בשום מקום
3.2.2019,12:41,שמוליק,ואילו לי מושג אם הוא חבר בפורום
5.2.2019,22:00,ויני,<המדיה לא נכללה>
5.2.2019,22:06,אפל,מה?????????
5.2.2019,22:07,ויני,אני שואל לא אומר
5.2.2019,22:07,אפל,"אה, לא נראה לי. הוא סתם תמוה."
5.2.2019,22:07,אפל,"למרות שאני לא מסיר את האופציה שמה שאמרת נכון, אבל אין לי לזה שום ביסוס"
5.2.2019,22:08,dorgoldenberg,מה? למה אתה מבין מזה שהוא גיי?
5.2.2019,22:08,ויני,מתי בפעם האחרונה שמת תמונת פרופיל של משהו עם גבר נוסף??!!
18.3.2019,12:23,אפל,<המדיה לא נכללה>
18.3.2019,12:24,שמוליק,לייק
18.3.2019,12:25,אפל,זה לכבוד פורים... היה ראוי שישימו כל השנה
18.3.2019,12:26,ויני,טואוב!
26.3.2019,13:43,אפל,<המדיה לא נכללה>
26.3.2019,13:43,dorgoldenberg,מה עם חמישי בערב?
26.3.2019,13:44,אפל,מממ אופציה
26.3.2019,13:44,ויני,נעד
26.3.2019,13:44,ויני,בעד
26.3.2019,13:47,dorgoldenberg,אני בתל אביב בחמישי
26.3.2019,13:47,ויני,האמת שזה בערך היום היחיד שנוח לי
26.3.2019,14:22,שמוליק,אני לא יכול
26.3.2019,14:22,שמוליק,חתונה של דודי
26.3.2019,14:29,שמוליק,אני כנראה אלך בראשון
26.3.2019,14:29,שמוליק,אין לי יום אחר
26.3.2019,14:54,אפל,גם אני מעדיף ראשון
26.3.2019,14:54,ויני,אפשר להתפצל
26.3.2019,14:54,אפל,"ולא בגלל חתונתו של נכד האדמו""ר"
26.3.2019,21:45,ויני,דור ואני נלך בחמישי
30.3.2019,21:13,אפל,https://www.haaretz.co.il/news/elections/EXT-INTERACTIVE-1.7040660
30.3.2019,21:14,אפל,התפוח והעץ לא קרובים כל כך
30.3.2019,21:18,dorgoldenberg,בדיוק ריכלנו עליו עם מוטי
30.3.2019,21:20,אפל,מה המסקנות..?
30.3.2019,21:21,ויני,שכל הילדים של הרב בזק יצאו משיגענעז
30.3.2019,21:21,אפל,"למה, מה עם הגדולות? אני רק יודע עליהן שעשו צבא"
30.3.2019,21:22,שמוליק,"במחילה, אני לא מבין מה משיגענע בו"
30.3.2019,21:23,שמוליק,לפחות במה שמשתקף בקטע הזה
30.3.2019,21:24,dorgoldenberg,דווקא נצמע אינטילגנטי
30.3.2019,21:24,dorgoldenberg,נשמע
30.3.2019,21:24,dorgoldenberg,אני רק יודע שהוא כוכב במעלה גלבוע
30.3.2019,21:24,ויני,הוא אמר שלכולם שם יש יציאות מוזרות
30.3.2019,21:25,ויני,לא התעמקתי יותר מידי זה היה בדלת
30.3.2019,21:25,אפל,מה הכוונה כוכב?
30.3.2019,21:25,שמוליק,"טוב נו, כשמוטי גוטמן יהיה הפרמטר שלי לאדם בלי יציאות מוזרות המצב יהיה קשה"
30.3.2019,21:27,אפל,"תגידו, מוטי באמת היה מנהל תיכון בכיתה י""א?"
30.3.2019,21:27,אפל,שמעתם את זה ממישהו חוץ ממנו?
30.3.2019,21:28,אפל,https://youtu.be/qt9FIEAMp1Y
30.3.2019,21:28,אפל,"אגב, לפחות הוא עשיר.. ;) (אלנתן)"
30.3.2019,21:49,ויני,"היו שם עוד זוג (קצת מוזרים) כשהיינו שם שדברו על זה, אז כנראה שכן"
30.3.2019,21:57,dorgoldenberg,המבוגרים?
30.3.2019,21:57,ויני,יא
30.3.2019,21:57,dorgoldenberg,"כן, נראו מוזרים קמעא"
30.3.2019,21:57,ויני,הוא מתנדנד כמו בייניש
30.3.2019,21:58,אפל,"הוא הגדיר את עצמו שם: ""בחור ישיבה"""
30.3.2019,22:31,dorgoldenberg,עוד מישהו קיבל מנתי הודעה שבה הוא מודה על המתנה שהבאתם לו לברית?
30.3.2019,22:31,אפל,אני לא ..
30.3.2019,22:31,אפל,לא הייתי
30.3.2019,22:38,ויני,לא
30.3.2019,22:38,dorgoldenberg,גמני...
30.3.2019,22:38,dorgoldenberg,זו בדיוק הבעיה
30.3.2019,23:07,אפל,אז יאללה תביא מתנה
1.4.2019,13:52,אפל,"גילינו אתמול מה כוונתו של מוטי. הבכורה של מו""ר הרב בזק היא לסבית, מסתבר.."
1.4.2019,13:53,ויני,ל''ע
1.4.2019,13:53,ויני,איך היה?
1.4.2019,13:53,dorgoldenberg,מעניין. בדיוק דברתי עליה אתמול
1.4.2019,13:53,dorgoldenberg,שהיא לסבית וכו'
1.4.2019,13:56,אפל,וואלה
1.4.2019,13:56,אפל,"היה מצחיק ומביך. הגיע מישהו שנתיים מעלינו, ששכח את הטאקט שלו עמוק עמוק בבית."
1.4.2019,13:56,אפל,לא זכרנו שהוא כל כך דביל
1.4.2019,13:57,ויני,תגיד מי?
1.4.2019,13:58,אפל,שבועיים וחצי לפני פסח ואתה רוצה שאגיד ככה לשון הרע??
1.4.2019,13:58,אפל,פו עליך
1.4.2019,13:58,ויני,יאללה יאללה
1.4.2019,13:59,אפל,"שאל את שמוליק, אולי אותו תצליח לדרדר לחטא"
1.4.2019,14:00,שמוליק,חס ושלום
1.4.2019,14:00,שמוליק,אבל הוא יצווווווווווור
1.4.2019,14:07,ויני,דודי צמחוני?
1.4.2019,14:15,אפל,לא
1.4.2019,22:34,ויני,"אני כל היום שובר את הראש ומנסה לחשוב מי זה יכול להיות, הבעיה היא שהיתה חפיפה יחסית קטנה ביננו לשנתיים מעלינו והיחידים שאני זוכר זה דודי צמחוני ואלעד רוט, ואת האחד שללתם והאחר לא היה חבר של מוטי וגם איננו יצור חריג, אז מי זה??!!"
1.4.2019,22:36,אפל,חחחח ויני אתה בחור נפלא
1.4.2019,22:41,אפל,אתן רמז: יש לו את האות א בשם
1.4.2019,22:50,ויני,🤬
1.4.2019,22:51,אפל,"ועכשיו ברצינות, הקרבה למוטי היא לא פרמטר פה, כי כמו שהוא אמר: ""באתי מהדר, אחרת לא הייתי מגיע.."""
3.4.2019,11:43,אפל,"https://www.ynet.co.il/articles/0,7340,L-5488847,00.html#autoplay"
3.4.2019,11:43,אפל,אוריך בפרונט
3.4.2019,11:44,ויני,ברון את שם בתור יד ימינו של כבוד השופט?
3.4.2019,11:44,אפל,"שמוליק, אני מניח שהיה לכם שם איחוד מרגש"
3.4.2019,11:46,אפל,<המדיה לא נכללה>
3.4.2019,11:46,ויני,🤣
3.4.2019,11:46,אפל,<המדיה לא נכללה>
3.4.2019,11:47,אפל,"יש לי עוד עשרות תמונות, נסתפק בזה"
3.4.2019,11:48,ויני,חכה חכה זה עוד יגיע לויינט כתחקיר שבחיר בשלכתו של כבוד השופט משתף פעולה עם היחצן של ביבי
3.4.2019,11:49,שמוליק,אכן היה איחוד
3.4.2019,11:49,שמוליק,גם אתמול וגם היום
3.4.2019,11:50,אפל,"תמסור ד""ש חם"
3.4.2019,22:12,אפל,<המדיה לא נכללה>
3.4.2019,22:13,אפל,אולי ככה יורידו אותי מרשימת התפוצה שלהם...
3.4.2019,22:13,אפל,"גרסת ""אפילו לא שניה"" 2019"
3.4.2019,22:19,ויני,וואוו איזה יצור שבוז
3.4.2019,22:20,dorgoldenberg,"תחשוב שאתה היית צריך להתקשר כל היום לאפל ודומיו שיטיפו לך תמורת 29 ש""ח לשעה"
3.4.2019,22:20,ויני,"זה מעניין לה את הספתא כמובן. ברגע שניתקה היא פנתה למי שלידה ואמרה: ""תשמע תשמע איזה פוץ מתנשא, אפשר לחשוב שהקול שלו משנה משהו"""
3.4.2019,22:20,אפל,תמורת 0 לשעה. היא מתנדבת מן הסתם
3.4.2019,22:21,ויני,"לפעמים אני מרחם על אנשים שהם לא אני, אבל אז אני נזכר שהם לא אני וזה מפסיק לעניין אותי"
3.4.2019,22:21,dorgoldenberg,לא נשמע ככה
3.4.2019,22:21,אפל,"למה, איך 29 לשעה נשמע?"
3.4.2019,22:22,dorgoldenberg,היא הייתה צריכה יותר להתלהב
3.4.2019,22:22,ויני,אם היאא היתה מתנדבת נראלי שהיית שומע קצת יותר התלהבות ולא אני רוצה לירות בעצמי
3.4.2019,22:24,אפל,"טוב, אולי זו מישהי בשכר שמבינה שהשכר לא יגיע כי המפלגה בחובות.."
19.4.2019,11:51,אפל,<המדיה לא נכללה>
5.5.2019,11:26,ויני,<המדיה לא נכללה>
5.5.2019,11:31,אפל,<המדיה לא נכללה>
5.5.2019,11:33,ויני,אם משהו מכם מתכוון ללכת לשבעה שיעדכן
5.5.2019,14:48,אפל,אני מתכוון ללכת
5.5.2019,14:48,אפל,מתלבט מתי
6.5.2019,15:12,ויני,ובכן?
6.5.2019,15:13,אפל,"אחי, אני כל היום עושה אקסלים של שעות מומלצות ביום בהתחשב במצב העומס בכבישים ואיכות האנשים שיגיעו"
6.5.2019,15:13,אפל,מחשב זמן אופטימלי
6.5.2019,15:43,אפל,"אפשר ביום הזיכרון בבוקר (אני אישית לא עובד, ככל הנראה)."
6.5.2019,15:43,ויני,יש מצב שאצטרף למאירפלד באיזור 12
6.5.2019,15:43,ויני,ביום הזיכרון
6.5.2019,15:48,אפל,@972528248979  - יום הזיכרון בבוקר?
12.5.2019,14:08,ויני,"תזכורת- ביום חמישי הקרוב, י""א באייר (16.5) יום העיון השנתי בישיבה, לזכרו של מו""ר הרב אהרן ליכטנשטיין זצ""ל בנושא: ""נשים בעולם התורה"". לפרטים והרשמה- https://tinyurl.com/y3qflajb"
12.5.2019,14:08,ויני,מתכננים להגיע?
12.5.2019,14:09,dorgoldenberg,לא יכול..
12.5.2019,14:12,אפל,🇪🇸🇪🇸🇪🇸🇪🇸 😁😁
27.5.2019,15:42,אפל,https://open.spotify.com/show/0pwJ6Mr0DGKB9FrOjBp18i?si=s_C4h0YlSDuDprkjBNLEvg
27.5.2019,15:43,אפל,"אז הסברתי לדברה ברקוביץ' איך להעלות את זה בתור אלבום, נראה אם היא תצליח.."
3.6.2019,19:05,אפל,<המדיה לא נכללה>
3.6.2019,19:58,ויני,למי אתה מצביע? תמשיך עם בנט בלי שקד?
3.6.2019,19:58,אפל,לא יודע עוד למי
16.6.2019,10:41,אפל,https://open.spotify.com/album/57S3T88MF60zWSwIX4ylrF?si=jSYNUFUBRluVOIF_W9bKgQ
20.6.2019,20:11,שמוליק,<המדיה לא נכללה>
20.6.2019,20:11,שמוליק,<המדיה לא נכללה>
20.6.2019,20:12,ויני,גדול!!
23.6.2019,22:45,ויני,שיחה אמיתית שהתרחשה באמת ביני לבין רב פלוני בוגר הגוש בחתונה ששנינו נוכחים בה:
23.6.2019,22:45,אפל,חחחחחח
23.6.2019,22:51,שמוליק,הדבר המיוחד במקום הגדול
23.6.2019,22:52,אפל,"אגב, כל פעם שנופר אומרת לי משהו לא מובן אני מתעצבן ואומר לה שתפסיק לעשות לי הראל ברגר"
23.6.2019,22:52,אפל,זה מושג אצלנו בבית
3.7.2019,18:22,אפל,https://m.facebook.com/story.php?story_fbid=566564047500049&id=100024393764594
3.7.2019,18:22,אפל,"""אסור ללכת לשיעורים של סיון רהב מאיר. זה לא צנוע"""
3.7.2019,18:30,אפל,https://www.makorrishon.co.il/nrg/online/archive/ART/373/154.html
3.7.2019,18:30,אפל,1+1=2
9.7.2019,8:02,אפל,<המדיה לא נכללה>
9.7.2019,8:02,אפל,(הבהרה: זוהי איננה הודעה פוליטית)
15.7.2019,19:27,אפל,"עכשיו אני קולט - מי לא פרסם פוסט בעניין טיפולי ההמרה והרב פרץ, למרות שממש מתאים לו להתבטא בנושא?"
15.7.2019,19:28,אפל,רמז:
16.7.2019,13:55,אפל,<המדיה לא נכללה>
16.7.2019,13:55,אפל,"שלא תבינו אותי לא נכון, אני מאוד אוהב ומעריך את הרב בזק. אני גם לא חושב שעשה פה משהו לא בדר"
16.7.2019,13:55,אפל,בסדר*
4.8.2019,7:49,אפל,היום לפני 10 שנים בדיוק - כולנו התגייסנו!
4.8.2019,7:56,שמוליק,😎
4.8.2019,8:57,ויני,"חשוב לזכור שמי שהיה הכי טוב זה שוקי כפיר, אבל אתם הייתם סתם מעפנים וביינישים מעצבנים. אולי זו הסיבה שהוא גייז בארה''ב ואתם דוסים"
4.8.2019,8:58,אפל,<המדיה לא נכללה>
4.8.2019,8:59,ויני,"כל חבריי הטובים ביותר, ליאור וולין, צורי בובליל, נתי אליהו ועמנואל מאייר, ומי אם לא יונתן קאופמן"
4.8.2019,9:00,אפל,געגועיי
4.8.2019,9:00,אפל,יפה שאתה עוד זוכר את השמות..
7.8.2019,14:12,אפל,<המדיה לא נכללה>
7.8.2019,14:12,שמוליק,"טוב, זה בישיבה"
7.8.2019,14:12,שמוליק,אבל אין לי מושג איפה
7.8.2019,14:12,אפל,נטילת ידיים בחדר אוכל
7.8.2019,14:13,שמוליק,וואו
7.8.2019,14:13,אפל,עבר שיפוץ החדר אוכל. החליפו גם את כל הריצוף
7.8.2019,14:13,שמוליק,מרשים
7.8.2019,14:13,שמוליק,צלם נו
7.8.2019,14:13,אפל,אני כבר לא שם. הריצוף בתמונה זה הריצוף בכל חדר האוכל
7.8.2019,14:29,אפל,<המדיה לא נכללה>
7.8.2019,14:55,ויני,מרשים ביותר מרת
7.8.2019,14:55,ויני,מה אתה עושה בישיבה?
7.8.2019,15:49,אפל,"כבכל שנה, ימי העיון בתנך"
8.8.2019,8:00,אפל,החייל שנרצח תלמיד הגוש?
8.8.2019,8:00,אפל,לא
8.8.2019,8:15,אפל,תלמיד ישיבת מחניים
8.8.2019,8:24,אפל,"דביר שורק, הבן של יואב שורק ממקור ראשון"
8.8.2019,9:09,שמוליק,מזעזע
8.8.2019,13:55,ויני,נורא ואיום
